index,lat,lng,city,country,temp,humidity,cloudiness,windspeed,max_temp
179,52.844237090712284,-176.6959387286242,provideniya,ru,-5.8,76,7,4.47,-5.8
181,51.26505429594326,42.84534316547408,kamenka,ru,30.99,85,93,4.0,30.99
183,38.31676674733757,-87.82361479082562,evansville,us,43.18,81,90,4.7,45.0
184,-26.135585532184052,134.14986376209208,alice springs,au,86.0,11,12,17.22,91.4
186,-57.860314359842434,31.283365154408585,port elizabeth,za,60.8,72,27,13.87,60.8
190,-15.076943336955011,86.47784538607442,bengkulu,id,74.95,86,85,2.77,74.95
191,30.202432419014826,-27.41570768880331,ponta delgada,pt,62.6,82,20,14.99,62.6
196,-19.2680647767082,-63.058727797363645,charagua,bo,93.2,26,3,2.64,93.2
199,-36.91044079674372,-81.99752145457661,lebu,cl,58.95,66,3,10.27,58.95
201,35.626172572308164,-70.00929119459053,nantucket,us,40.21,80,1,13.87,42.01
203,-85.8397052208201,-176.57989952855746,vaini,to,84.2,79,20,6.93,84.2
204,-9.874295965109354,39.79131778186431,lindi,tz,75.2,94,40,2.91,75.2
205,40.29427669957724,14.205840460386781,sorrento,it,49.96,93,40,1.12,53.6
206,40.92710383558912,69.20308693292918,buka,uz,30.2,100,86,2.24,30.2
208,68.33535246177905,-124.4689135430105,norman wells,ca,-14.8,75,75,5.82,-14.8
209,49.71894815408774,-45.358101321023184,torbay,ca,26.67,58,75,10.29,28.0
211,32.31263031702727,-19.430823214468433,ponta do sol,pt,56.17,76,20,2.24,57.2
213,-13.50233053420503,111.6458984580371,boyolangu,id,77.74,84,14,2.73,77.74
215,1.6245591300781683,37.35547350306024,maralal,ke,66.76,75,100,8.75,66.76
216,61.48744661497361,179.68366322465562,beringovskiy,ru,15.84,89,100,1.68,15.84
218,61.40343236355329,57.6708753676879,krasnovishersk,ru,3.16,96,99,3.62,3.16
221,-27.748838035636673,-44.45162102227721,sao sebastiao,br,76.5,76,0,16.28,76.5
222,33.39840808923853,-3.1789133129315985,nador,ma,52.5,67,0,8.05,57.2
223,57.26702189739504,145.13322684016924,okhotsk,ru,-12.39,74,82,9.4,-12.39
